coordinate,observed,sigma,included,reference motif.calculated,reference motif.residual,oxygen-shift candidate.calculated,oxygen-shift candidate.residual
29.759999999999998,5.977967405165922,2.4449882218869523,1,8.570274413614392,-2.5923070084484703,8.536202390506798,-2.558234985340876
29.84,4.69799788858791,2.1674865371180303,1,6.045028076667652,-1.3470301880797422,6.026659671777529,-1.3286617831896192
29.92,4.698800003552287,2.167671562657103,1,5.229320579276711,-0.5305205757244238,5.215873670988197,-0.51707366743591
30.0,4.700000000000001,2.1679483388678804,1,4.862742632015684,-0.16274263201568306,4.851467406115214,-0.1514674061152128
30.08,4.7012,2.168225080567052,1,4.667398627202071,0.03380137279792894,4.657267670094701,0.04393232990529938
30.16,4.7024,2.168501786948768,1,4.551367112311448,0.15103288768855183,4.541911676203381,0.16048832379661881
30.240000000000002,4.7036,2.1687784580265452,1,4.477173453848247,0.22642654615175317,4.468149235556022,0.2354507644439776
30.32,4.7048,2.1690550938138937,1,4.427215148264982,0.2775848517350177,4.418482062174479,0.28631793782552073
30.4,4.706,2.169331694324314,1,4.392334352171352,0.3136656478286488,4.383806036990708,0.32219396300929226
30.48,4.7072,2.169608259571299,1,4.367387205395165,0.3398127946048355,4.359007264409931,0.3481927355900689
30.560000000000002,4.7084,2.169884789568331,1,4.349310968865247,0.35908903113475343,4.3410407658318855,0.36735923416811467
30.64,4.7096,2.170161284328886,1,4.336201332769074,0.3733986672309264,4.328013265082557,0.3815867349174429
30.72,4.7108,2.1704377438664304,1,4.326840588481601,0.38395941151839885,4.31871415038387,0.39208584961613013
30.8,4.712,2.1707141681944218,1,4.320444703689728,0.39155529631027175,4.312364050400203,0.399635949599797
30.880000000000003,4.7132000000000005,2.1709905573263097,1,4.316526246399459,0.3966737536005418,4.308478592512909,0.4047214074870915
30.96,4.7144,2.1712669112755347,1,4.314826925613826,0.39957307438617473,4.3068014006132085,0.4075985993867919
31.04,4.7156,2.171543230055529,1,4.315304102256411,0.40029589774358953,4.3072908127553005,0.4083091872446998
31.12,4.7168,2.1718195136797163,1,4.318182704501418,0.3986172954985818,4.310171771789291,0.40662822821070943
31.200000000000003,4.718,2.1720957621615122,1,4.32413454231954,0.39386545768045966,4.316114765080857,0.40188523491914285
31.28,4.719200000000084,2.172371975514342,1,4.334802828863728,0.3843971711363565,4.32675916295951,0.3924408370405743
31.36,4.720400049177203,2.1726481650688876,1,4.354530783616745,0.36586926556045807,4.346438194665104,0.37396185451209973
31.439999999999998,4.722425119199454,2.1731141523627917,1,4.397958195571093,0.3244669236283615,4.389761226467983,0.3326638927314711
31.52,5.1209034864774265,2.2629413351824716,1,4.810383606744348,0.3105198797330786,4.80248448240053,0.3184190040768966
31.6,10.24733890195834,3.2011464980469637,1,10.949995926402336,-0.7026570244439956,10.962858436440555,-0.7155195344822154
31.68,6.928805381368715,2.632262407391922,1,6.240243003492629,0.6885623778760861,6.230367070723533,0.6984383106451819
31.759999999999998,4.751680891177541,2.179835060544155,1,4.491848887309192,0.2598320038683486,4.48338360428631,0.2682972868912312
31.84,4.727608340217112,2.174306404400519,1,4.490434664054654,0.23717367616245788,4.4820043392466395,0.24560400097047275
31.92,4.7288000000839165,2.1745804193186133,1,4.560172891686097,0.16862710839781947,4.551589570234184,0.17721042984973234
32.0,4.730001939280808,2.1748567629342417,1,4.724527131106575,0.005474808174233736,4.715614272569704,0.014387666711104252
32.08,4.75374550820866,2.180308580960195,1,5.153294155466934,-0.3995486472582739,5.1436761274651515,-0.3899306192564911
32.16,12.269526104710216,3.5027883328443092,1,10.967134797918153,1.3023913067920638,10.971602531511351,1.2979235731988652
32.24,77.19020081766286,8.785795400398467,1,82.02549284933454,-4.835292031671685,82.3104811674081,-5.120280349745244
32.32,24.764597220029778,4.976404045094186,1,20.066253233927867,4.698343986101911,20.039410898893415,4.725186321136363
32.4,4.89522144879258,2.2125147341413527,1,5.231963886612201,-0.33674243781962065,5.221616824371424,-0.32639537557884335
32.480000000000004,4.737236395946027,2.1765193304783734,1,4.736797150339956,0.0004392456060715588,4.7276791809639835,0.00955721498204376
32.56,4.738400000239238,2.17678662257908,1,4.5810956930949995,0.15730430714423882,4.572241306542088,0.16615869369715064
32.64,4.7396,2.1770622407271687,1,4.5212012424729044,0.2183987575270958,4.512372143744454,0.22722785625554653
32.72,4.7408,2.1773378240410928,1,4.500938273320856,0.23986172667914385,4.492028669619821,0.24877133038017885
32.8,4.742,2.177613372479146,1,4.502472427586045,0.23952757241395517,4.493408515950609,0.24859148404939102
32.88,4.7432,2.1778888860545664,1,4.51994352402878,0.2232564759712199,4.510651809086349,0.23254819091365064
32.96,4.7444,2.178164364780583,1,4.552796419960012,0.19160358003998734,4.543185619692022,0.20121438030797734
33.04,4.7456,2.1784398086704164,1,4.604287263708497,0.14131273629150254,4.5942285646218,0.15137143537819941
33.120000000000005,4.7468,2.1787152177372793,1,4.682387342837647,0.06441265716235378,4.671682230183342,0.07511776981665808
33.2,4.748,2.178990591994376,1,4.8035059246077125,-0.05550592460771231,4.791822589362293,-0.043822589362292774
33.28,4.749200000000001,2.1792659314549017,1,5.002722113338561,-0.2535221133385601,4.989451499390997,-0.24025149939099588
33.36,4.7504000019325785,2.1795412365753895,1,5.364349501195635,-0.6139494992630565,5.348227106681673,-0.5978271047490944
33.44,4.751830460942316,2.179869367861826,1,6.13368579055876,-1.3818553296164433,6.111576544202404,-1.359746083260088
33.519999999999996,5.543085420397015,2.3543758027122634,1,8.625270831288635,-3.0821854108916202,8.583587579483321,-3.040502159086307
33.6,82.68262773933078,9.092998830932004,1,79.81511916513256,2.867508574198226,79.54003897502675,3.142588764304037
33.68,225.72682514955198,15.024207970790073,1,243.14644404373638,-17.419618894184396,242.48418598678023,-16.757360837228248
33.76,22.77422715751861,4.772235027481212,1,15.507177518802031,7.267049638716578,15.43062527919745,7.343601878321159
33.84,4.804425881392776,2.1919000619081097,1,7.650088952846604,-2.845663071453828,7.61784645783148,-2.8134205764387046
33.92,8.878660933750005,2.979708196073905,1,10.730362445593975,-1.8517015118439701,10.671030688289328,-1.7923697545393225
34.0,111.35112757386288,10.552304372688598,1,110.57049102144056,0.7806365524223224,110.25014433014118,1.1009832437217
34.08,84.06359045160607,9.16861987714651,1,78.90884188978544,5.1547485618206395,78.79896526826894,5.264625183337131
34.16,6.458993985697017,2.541455092205451,1,7.486209021258215,-1.0272150355611984,7.459892978477839,-1.0008989927808223
34.24,4.764643771077,2.1828063979833394,1,6.06081909256954,-1.29617532149254,6.041370474526853,-1.276726703449853
34.32,4.766008099690766,2.183118892706205,1,6.153722530372594,-1.3877144306818279,6.132876035297799,-1.3668679356070328
34.4,6.650039661966493,2.5787670817595165,1,8.579316625257842,-1.9292769632913496,8.536378868877915,-1.8863392069114218
34.480000000000004,89.25818421103465,9.44765495829704,1,86.18605573005087,3.0721284809837783,85.88618909862413,3.3719951124105165
34.56,113.7258973359188,10.664234493667081,1,107.83199162981909,5.893905706099716,107.75462027094913,5.971277064969669
34.64,8.810055162310334,2.9681737082438984,1,7.934285378542631,0.8757697837677032,7.910842989553716,0.8992121727566182
34.72,4.775108537589502,2.185202173161445,1,5.598715155973768,-0.8236066183842654,5.583447413745819,-0.8083388761563173
34.8,4.7720001321161485,2.184490817585679,1,5.130536991675057,-0.35853685955890846,5.117815155752547,-0.3458150236363986
34.879999999999995,4.773200000001656,2.18476543363393,1,4.985814775776699,-0.21261477577504362,4.97386636250606,-0.20066636250440428
34.96,4.7744005147318145,2.185040163185065,1,5.007043044616002,-0.23264252988418743,4.994934307014009,-0.22053379228219416
35.04,4.781231867742379,2.1866028143543534,1,5.2410421741772195,-0.4598103064348402,5.22760443818298,-0.44637257044060075
35.120000000000005,7.165574574851034,2.676859087597073,1,7.465806549821458,-0.30023197497042453,7.443191220872713,-0.2776166460216789
35.2,48.03655354696556,6.930840753253934,1,47.63930981439561,0.3972437325699474,47.64190053819279,0.39465300877276377
35.28,35.110309693474015,5.925395319594636,1,32.835823092077014,2.274486601397001,32.79588814017129,2.314421553302722
35.36,24.70679907459609,4.970593432840398,1,26.928689993311668,-2.2218909187155766,26.81884542294284,-2.112046348346748
35.44,16.5403472508422,4.066982573215946,1,15.845925553755078,0.6944216970871206,15.746061365037823,0.794285885804376
35.519999999999996,4.988949208556354,2.2335955785585613,1,5.65391235535359,-0.6649631467972359,5.634917677344147,-0.6459684687877925
35.6,4.784108246355577,2.1872604431927116,1,5.799254102030063,-1.0151458556744863,5.779512366833813,-0.995404120478236
35.68,4.8400202745731615,2.200004607852711,1,6.881689440482347,-2.0416691659091857,6.853657311281611,-2.0136370367084497
35.760000000000005,24.811075497995965,4.981071721828141,1,21.86324146306095,2.9478340349350134,21.79089820425042,3.020177293745544
35.84,215.1248549488616,14.667135199106253,1,220.26960608415945,-5.144751135297838,219.71351575921022,-4.588660810348614
35.92,68.32091871025767,8.265646902103772,1,52.78970176241843,15.53121694783924,52.367445407416575,15.953473302841097
36.0,5.3418193179775315,2.311237616078782,1,7.085877648564829,-1.7440583305872979,7.0530464791258805,-1.711227161148349
36.08,4.79143711603829,2.1889351557408663,1,5.5721910309643965,-0.7807539149261062,5.5537061631945015,-0.7622690471562112
36.16,4.891679777332039,2.211714216921354,1,5.161872386857096,-0.27019260952505775,5.146575163244606,-0.2548953859125671
36.24,7.6481417079303755,2.7655273833267997,1,7.484629232159911,0.16351247577046468,7.447942414246162,0.2001992936842134
36.32,7.15494354568999,2.6748726223298913,1,6.855390663077902,0.29955288261208857,6.822661500630078,0.33228204505991243
36.400000000000006,4.852113436304674,2.202751333288593,1,4.699384077837808,0.15272935846686586,4.688388275809364,0.16372516049531072
36.480000000000004,4.797238363810267,2.190259884993164,1,4.625080753975845,0.1721576098344224,4.614957359733287,0.18228100407698022
36.56,4.798400000760977,2.190525051388588,1,4.619269712331292,0.17913028842968526,4.6092369804183235,0.18916302034265353
36.64,4.7996020573702936,2.1907994105737507,1,4.671402463842338,0.12819959352795518,4.660897206997211,0.13870485037308278
36.72,4.818837284600171,2.1951850228625767,1,4.866019376257327,-0.04718209165715592,4.853631721272753,-0.03479443667258142
36.8,9.34932791601099,3.057667070825565,1,8.589998007664816,0.7593299083461744,8.544095043893721,0.8052328721172692
36.879999999999995,37.76931813210503,6.145674749944471,1,39.897800552304446,-2.1284824201994184,39.76975238399923,-2.0004342518942053
36.96,11.676757924499926,3.4171271449128033,1,8.888412472632448,2.788345451867478,8.874285470787697,2.8024724537122285
37.04,4.846797432619677,2.201544329015357,1,4.787608747652297,0.05918868496738039,4.776914969016078,0.06988246360359973
37.120000000000005,4.806807101677661,2.1924431809462384,1,4.591587316566494,0.21521978511116657,4.582187538427504,0.2246195632501573
37.2,4.808000000035203,2.1927152117945465,1,4.523532440947297,0.284467559087906,4.514610585904205,0.2933894141309974
37.28,4.8092,2.192988828060918,1,4.494312530034696,0.3148874699653037,4.4856040479222665,0.3235959520777332
37.36,4.8104,2.1932624102008402,1,4.481759720443803,0.3286402795561969,4.473147005683559,0.3372529943164402
37.44,4.8116,2.1935359582190577,1,4.47853113400842,0.3330688659915806,4.469946092206447,0.3416539077935532
37.519999999999996,4.8128,2.193809472128334,1,4.482071113308771,0.33072888669122946,4.4734624777457395,0.3393375222542607
37.6,4.814,2.1940829519414256,1,4.491999526745821,0.322000473254179,4.4833172608762455,0.33068273912375457
